,Address,Phone,Website,Hours of Service
  Association of Veterans WWII,"9852-57 Bustleton Avenue Philadelphia, PA 19115",(215) 856-7316,,"Tuesday		9:00 AM		4:00 PM Wednesday	9:00 AM	4:00 PM Thursday	9:00 AM	4:00 PM Friday	9:00 AM	4:00 PM"
 Faith Tabernacle Church,"1301 West Front ST. Plainlfield, NJ 7060",(908) 591-6467,http://www.ftcplainfield.org/,
" Iglesias Hispana De La Comunidad, Inc. ","36-16 Astoria Boulevard Queens, NY 11103",(718) 205-8225,,Every other Saturday 7:00 am to 10:00 am
 Lutheran Church of the Holy Communion,"2111Sansom Street, Philadelphia, PA 19103",(215) 567-3668 x732,,"Wednesday	11:00 AM	1:00 PM"
 Open Arms Food Pantry,"451 W. Kennett Pontiac, MI 48340",(248) 334-3280,,
"""I Have A Dream Foundation"" Foundation","330 Seventh Ave. New York, NY 10001",(212) 293-5480,www.ihad.org,
12 Blocks West Community Collaborative,"3225 S. Noland Road Independence, MO 64055",(816) 521-5300,www6.indep.k12.mo.us/2009/12/03/12-blocks-west-initiative,
164 Wilson Food Pantry,"164 Richmond Hill Avenue Stamford, CT 6902",(203) 570-6892,,
17th Street Church of Christ,"505 N 17th Street Monroe, LA 71201",(318) 614-5910,,SFSP Will be May through June. Food Pantry Open every Thrusday and Friday. 
180 Turning Lives Around,"1 Bethany Road Building 3 Hazlet, NJ 7730",(732) 264-4111,www.180nj.org,
1st Assembly of God - Food Pantry,"505 N. 4th Street Robstown, TX 78380",(361) 563-0075,,
1st Assembly of God Hands ,"430 Route 45 Salem, NJ 08079",(856) 935-0060,,2nd & 4th M 10:00 AM-1:00 PM;  
1st Baptist Church of Lake Park,"601 Marion Street Lake Park, GA 31636",(229) 559-5462,,
1st Baptist Church of Malabar,"1665 Malabar Rd. Malabar, FL 32950",(321) 723-1602,,
1st Christian Church,"320 Monroe Petoskey, MI 49770",(231) 347-6181,,
1st Congregational Church of Christ,"26250 E. Huron River Drive Flat Rock, MI 48134",(734) 782-9444,,Free community dinner served every Wednesday at 6:00pm
21 Acres Center for Local Food and Sustainable Living,"13701 NE 171st St Woodinville, WA 98072",(425) 481-1500,http://www.21acres.org/, Tours by appointment. Email generalinfo@21acres.org  
48th St Mount Pleasant Baptist Church,"5539 Vine Street Philadelphia, PA 19139",(215) 474-4906,,4th SA 9:00 AM-12:00 PM;  
5 Breads 2 Fish Oaks of Righteousness Minisry,"515 Crocker St. Los Angeles, CA 90013",(818) 303-6443,http://5Breadsand2Fish.org/,7days 24hrs
5 Loaves Food Pantry,"14425 Old Courthouse Way Newport News, VA 23608",(757) 775-4211,https://www.facebook.com/FiveLoavesFoodPantry,
59th Street Baptist Church,"5901 Spruce Street Philadelphia, PA 19139",(215) 472-7532 x215,,T 9:30 AM-12:00 PM
8th Street Community Church,"3760 N.8th Street Philadelphia, PA 19140",(215) 225-2824,,M & F 12:00 PM-1:30 PM
9 to 5 Poverty National Association,"152 W. Wisconsin Ave. Milwaukee, WI 53203",(414) 274-0920,http://www.9to5.org/,
93rd Street Sandwich Line,"2504 Broadway New York, NY 10025",(212) 316-5700,,Tuesday & Thursday 4pm
"A Hand Up, Inc.","13 Abbey Ct. Chatham, IL 62629",(217) 483-7814,www.ahandup.com,
A House of Blessing,"1515 Fifth Avenue Youngstown, OH 44507",(330) 746-6622,,
A Just Harvest,"7649 North Paulina Street Chicago, IL 60626",(773) 262-2297,http://www.ajustharvest.org/,4:30 - 6:30 p.m.
A New Way of Life Reentry Project,"PO Box 875288 Los Angeles, CA 90087",() -,www.anewwayoflife.org,
a.i.s.e.d.a.,"3326 Calhoun St. FT.Wayne, IN 46807",(260) 445-6362,, -Monday - Friday 9am to 12pm  
Abbott House,"100 North Broadway Irvington- On- Hudson, NY 10533",(914) 591-7300,,
"ABCCM Doctor's Medical Clinic, Inc.","115 Livingston st. Asheville, NC 28801",(828) 259-5339,,
ABCCM South Ministry,"PO Box 224 Arden, NC 28704",(828) 684-3872,,
Abenki Self-Help Association Inc,"P.O. Box 276 Swanton, VT 5488",(802) 868-7146,,
"Aberdeen Community Club, Inc.","708 Keyser Street Aberdeen, NC 28315",(910) 944-7684,, Wed 1-3  
Aberdeen Community Foodbank,"42 Washington Aberdeen, ID 83210",(208) 244-1586,,
Abilities of Florida,"2735 Whitney Road Clearwater, FL 33760",(727) 538-7370,,
Abraham House ,"348 Willis Ave Bronx, NY 10454",(718) 292-9321,http://www.abrahamhouse.org/,
"Abundant Life Fellowship of the Palm Beaches, Inc.","P.O. Box 10677 Riviera Beach, FL 33419",(561) 844-9180,www.alfcrc.org,
